t,i
136.0,986
136.0,992
136.0,994
137.0,386
137.0,745
137.0,878
137.0,932
137.0,984
138.0,16
138.0,145
138.0,268
138.0,442
138.0,446
138.0,474
138.0,520
138.0,538
138.0,547
138.0,722
138.0,771
138.0,959
139.0,76
139.0,122
139.0,163
139.0,278
139.0,317
139.0,325
139.0,347
140.0,311
140.0,598
141.0,19
141.0,106
141.0,127
141.0,337
141.0,397
141.0,807
141.0,880
141.0,937
141.0,958
142.0,212
142.0,299
142.0,404
142.0,489
142.0,949
142.0,953
143.0,164
143.0,341
143.0,464
143.0,502
143.0,514
143.0,684
144.0,99
144.0,102
144.0,184
144.0,256
144.0,460
144.0,712
144.0,789
144.0,794
144.0,829
145.0,236
145.0,457
145.0,573
145.0,906
146.0,56
146.0,74
146.0,162
147.0,49
147.0,240
147.0,629
147.0,950
148.0,53
148.0,124
148.0,640
149.0,6
149.0,781
149.0,974
150.0,379
150.0,511
150.0,871
151.0,72
151.0,130
151.0,408
152.0,40
152.0,100
152.0,403
152.0,524
152.0,583
152.0,773
152.0,776
153.0,17
153.0,211
153.0,335
153.0,373
153.0,649
153.0,920
154.0,219
154.0,226
154.0,320
154.0,656
154.0,759
154.0,907
155.0,74
155.0,308
155.0,358
155.0,607
156.0,11
156.0,84
156.0,328
157.0,1
157.0,34
157.0,90
157.0,136
157.0,139
157.0,246
157.0,288
157.0,375
157.0,435
157.0,616
158.0,12
158.0,78
158.0,105
158.0,472
158.0,488
158.0,665
158.0,709
158.0,856
159.0,38
159.0,137
159.0,237
159.0,476
159.0,527
159.0,541
159.0,552
159.0,610
159.0,622
159.0,643
159.0,668
159.0,706
159.0,713
159.0,756
159.0,967
160.0,61
160.0,113
160.0,201
160.0,401
160.0,466
160.0,495
160.0,586
160.0,707
160.0,728
160.0,985
161.0,229
161.0,260
161.0,294
161.0,346
161.0,376
161.0,435
161.0,441
161.0,571
161.0,624
161.0,666
161.0,742
161.0,922
162.0,141
162.0,200
162.0,218
162.0,253
162.0,481
162.0,513
162.0,593
162.0,694
162.0,747
162.0,750
162.0,772
162.0,783
162.0,791
162.0,806
162.0,883
163.0,68
163.0,73
163.0,126
163.0,144
163.0,423
163.0,428
163.0,450
163.0,657
163.0,670
163.0,725
163.0,836
163.0,837
163.0,845
163.0,861
164.0,52
164.0,96
164.0,254
164.0,271
164.0,327
164.0,375
164.0,382
164.0,418
164.0,444
164.0,471
164.0,544
164.0,549
164.0,601
164.0,630
